World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Latitude,Longitude,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Underkeel Clearance Management System,Good Holding Ground,Turning Area,Port Security,Traffic Separation Scheme,Vessel Traffic Service,Pilotage - Compulsory,Pilotage - Available
47750.0,Rodrigues -- 47740,Port Mathurin, ,MU PMA,Mauritius,Indian Ocean, ,-19.683333,63.416667,4.0,0.0,7.9,15.5,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Fair,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown
49825.0,Malaysia -- 49820,Port Langkawi, ,MY LGK,Malaysia,Strait of Malacca; Indian Ocean, ,6.433333,99.766667,3.0,0.0,0.0,9.4,7.9,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
58205.0,Philippine Islands -- 57960,Sorsogon, ,PH SOR,Philippines,Philippine inland seas; North Pacific Ocean, ,12.966667,124.0,3.0,0.0,1.8,4.9,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Excellent,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
48340.0,Saudi Arabia Continued -- 48330,Ras  Tannurah,Ras Tanura,SA RTA,Saudi Arabia,Persian Gulf; Indian Ocean, ,26.633333,50.166667,2.0,0.0,15.5,23.2,14.0,0.0,0.0,0.0,Medium,Open Roadstead,Unknown,Fair,No,No,No,Yes,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Yes,Yes
8225.0,United States E Coast -- 6585,Annapolis, ,US ANP,United States,North Atlantic Ocean, ,38.983333,-76.483333,0.3,0.0,4.9,9.4,3.4,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Excellent,No,No,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
8210.0,United States E Coast -- 6585,Baltimore, ,US BAL,United States,North Atlantic Ocean, ,39.266667,-76.58333299999998,0.3,0.0,14.0,14.0,14.0,0.0,0.0,0.0,Large,River (Natural),Unknown,Good,No,No,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown
8130.0,United States E Coast -- 6585,Camden, ,US CDE,United States,North Atlantic Ocean, ,39.95,-75.13333299999998,1.8,0.0,11.0,11.0,11.0,0.0,0.0,0.0,Medium,River (Natural),Unknown,Excellent,No,No,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
8080.0,United States E Coast -- 6585,Chester, ,US CHT,United States,North Atlantic Ocean, ,39.85,-75.34999999999998,1.8,0.0,11.0,11.0,9.4,0.0,0.0,0.0,Large,River (Natural),Unknown,Good,No,No,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
7810.0,United States E Coast -- 6585,Newark, ,US EWR,United States,North Atlantic Ocean, ,40.7,-74.15,1.5,0.0,7.9,11.0,11.0,0.0,0.0,0.0,Medium,River (Basins),Unknown,Good,No,No,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown
7790.0,United States E Coast -- 6585,Bayonne, ,US BAY,United States,North Atlantic Ocean, ,40.683333,-74.09999999999998,1.5,0.0,9.4,12.5,12.5,0.0,0.0,0.0,Medium,River (Natural),Unknown,Good,No,No,No,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown
